geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:,Prevention Tips:,Victim's Guide:
"X: 490952.9374, Y: 5458833.2026, Z: NaN",Other Theft,2026-04-05T18:33:00.0000000,9XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-06T22:11:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-07T17:43:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-08T00:12:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-08T00:15:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-08T02:02:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-09T00:40:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Other Theft,2026-04-11T03:08:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490741.884, Y: 5455154.5457, Z: NaN",Other Theft,2026-04-10T18:56:00.0000000,9XX W KING EDWARD AVE,VAN,South Cambie,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490741.884, Y: 5455154.5457, Z: NaN",Other Theft,2026-04-12T21:54:00.0000000,9XX W KING EDWARD AVE,VAN,South Cambie,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490741.884, Y: 5455154.5457, Z: NaN",Other Theft,2026-04-15T19:05:00.0000000,9XX W KING EDWARD AVE,VAN,South Cambie,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492175.4366, Y: 5458706.8536, Z: NaN",Other Theft,2026-04-06T20:53:00.0000000,ABBOTT ST / W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491643.103, Y: 5456918.3636, Z: NaN",Other Theft,2026-04-03T03:43:00.0000000,CAMBIE ST / W 7TH AVE,VAN,Fairview,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491638.4264, Y: 5456722.3837, Z: NaN",Other Theft,2026-04-15T17:20:00.0000000,CAMBIE ST / W BROADWAY AVE,VAN,Fairview,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489915.3257, Y: 5459172.7169, Z: NaN",Other Theft,2026-04-12T21:17:00.0000000,CARDERO ST / DAVIE ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491350.4311, Y: 5459365.1192, Z: NaN",Theft from Vehicle,2026-04-04T21:00:00.0000000,10XX W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490946.2657, Y: 5459234.186, Z: NaN",Theft from Vehicle,2026-04-13T15:00:00.0000000,11XX ALBERNI ST,VAN,West End,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490715.2484, Y: 5458594.519, Z: NaN",Theft from Vehicle,2026-04-05T08:00:00.0000000,11XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490909.6103, Y: 5458643.1367, Z: NaN",Theft from Vehicle,2026-04-08T16:55:00.0000000,10XX HORNBY ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490889.5958, Y: 5458482.8579, Z: NaN",Theft from Vehicle,2026-04-02T18:00:00.0000000,10XX HOWE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490851.7894, Y: 5458444.3488, Z: NaN",Theft from Vehicle,2026-04-10T21:30:00.0000000,11XX HOWE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490862.757, Y: 5458455.4587, Z: NaN",Theft from Vehicle,2026-04-04T21:00:00.0000000,11XX HOWE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491142.8658, Y: 5458001.6305, Z: NaN",Theft from Vehicle,2026-04-15T01:45:00.0000000,11XX MAINLAND ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491208.2749, Y: 5458066.4342, Z: NaN",Theft from Vehicle,2026-04-08T19:30:00.0000000,11XX MAINLAND ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491062.5082, Y: 5459366.4325, Z: NaN",Theft from Vehicle,2026-04-08T13:10:00.0000000,11XX MELVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 489359.9171, Y: 5457819.9543, Z: NaN",Theft from Vehicle,2026-04-02T07:15:00.0000000,14XX CHESTNUT ST,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492204.6478, Y: 5459031.2779, Z: NaN",Theft from Vehicle,2026-04-13T11:55:00.0000000,1XX WATER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492212.9631, Y: 5459029.0573, Z: NaN",Theft from Vehicle,2026-04-11T18:00:00.0000000,1XX WATER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495450.1088, Y: 5458301.9147, Z: NaN",Theft from Vehicle,2026-04-04T07:00:00.0000000,20XX ADANAC ST,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492575.463, Y: 5459006.0235, Z: NaN",Theft from Vehicle,2026-04-05T04:40:00.0000000,1XX ALEXANDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492684.7048, Y: 5459043.8644, Z: NaN",Theft from Vehicle,2026-04-06T17:09:00.0000000,1XX ALEXANDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492531.8082, Y: 5457276.0139, Z: NaN",Theft from Vehicle,2026-04-12T06:00:00.0000000,1XX E 3RD AVE,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492454.806, Y: 5452759.6646, Z: NaN",Theft from Vehicle,2026-04-08T23:00:00.0000000,1XX E 47TH AVE,VAN,Sunset,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492572.8915, Y: 5458943.0312, Z: NaN",Theft from Vehicle,2026-04-04T08:00:00.0000000,2XX COLUMBIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492799.3685, Y: 5456588.6692, Z: NaN",Theft from Vehicle,2026-04-03T08:30:00.0000000,2XX E 10TH AVE,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492744.755, Y: 5458423.9184, Z: NaN",Theft from Vehicle,2026-04-04T21:25:00.0000000,2XX E GEORGIA ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492744.755, Y: 5458423.9184, Z: NaN",Theft from Vehicle,2026-04-13T08:09:00.0000000,2XX E GEORGIA ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495214.5659, Y: 5455181.7083, Z: NaN",Theft from Vehicle,2026-04-10T00:30:00.0000000,40XX ALICE ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495111.6581, Y: 5455126.2905, Z: NaN",Theft from Vehicle,2026-04-05T05:00:00.0000000,40XX BEATRICE ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495120.7644, Y: 5455139.2369, Z: NaN",Theft from Vehicle,2026-04-13T02:00:00.0000000,40XX BEATRICE ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495061.1771, Y: 5455090.7999, Z: NaN",Theft from Vehicle,2026-04-13T08:00:00.0000000,40XX COMMERCIAL ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 494181.0132, Y: 5455141.4752, Z: NaN",Theft from Vehicle,2026-04-12T01:00:00.0000000,40XX INVERNESS ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492969.5312, Y: 5454957.8571, Z: NaN",Theft from Vehicle,2026-04-12T03:30:00.0000000,42XX PRINCE EDWARD ST,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 485209.1411, Y: 5456284.8876, Z: NaN",Theft from Vehicle,2026-04-03T01:00:00.0000000,43XX W 15TH AVE,VAN,West Point Grey,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491927.9048, Y: 5458815.4717, Z: NaN",Theft from Vehicle,2026-04-08T15:21:00.0000000,5XX HAMILTON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491450.1033, Y: 5459186.7369, Z: NaN",Theft from Vehicle,2026-04-08T19:26:00.0000000,5XX HORNBY ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491787.414, Y: 5458970.873, Z: NaN",Theft from Vehicle,2026-04-06T14:00:00.0000000,5XX RICHARDS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491787.414, Y: 5458970.873, Z: NaN",Theft from Vehicle,2026-04-15T16:50:00.0000000,5XX RICHARDS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491603.3348, Y: 5458785.2991, Z: NaN",Theft from Vehicle,2026-04-04T01:00:00.0000000,6XX RICHARDS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491609.751, Y: 5458916.7392, Z: NaN",Theft from Vehicle,2026-04-14T04:00:00.0000000,6XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491387.0904, Y: 5452111.2476, Z: NaN",Theft from Vehicle,2026-04-10T05:30:00.0000000,6XX W 54TH AVE,VAN,Oakridge,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 495769.5597, Y: 5451805.8794, Z: NaN",Theft from Vehicle,2026-04-11T03:00:00.0000000,71XX BERKELEY ST,VAN,Victoria-Fraserview,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 489897.8148, Y: 5451584.6914, Z: NaN",Theft from Vehicle,2026-04-09T00:00:00.0000000,76XX FRENCH ST,VAN,Marpole,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492180.9865, Y: 5458710.0684, Z: NaN",Theft from Vehicle,2026-04-08T01:45:00.0000000,9X W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491348.2758, Y: 5458288.6296, Z: NaN",Theft from Vehicle,2026-04-15T16:45:00.0000000,9XX HAMILTON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491026.8494, Y: 5458758.3975, Z: NaN",Theft from Vehicle,2026-04-11T19:38:00.0000000,9XX HORNBY ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491149.8021, Y: 5458177.612, Z: NaN",Theft from Vehicle,2026-04-04T01:00:00.0000000,HELMCKEN ST / HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492864.8759, Y: 5457462.5262, Z: NaN",Theft from Vehicle,2026-04-06T18:40:00.0000000,INDUSTRIAL AVE / STATION ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 492255.2802, Y: 5458534.6183, Z: NaN",Theft from Vehicle,2026-04-09T16:58:00.0000000,KEEFER PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490633.116, Y: 5457983.4961, Z: NaN",Theft from Vehicle,2026-04-09T15:08:00.0000000,PACIFIC ST / ROLSTON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 491427.0969, Y: 5458601.6678, Z: NaN",Theft from Vehicle,2026-04-11T23:44:00.0000000,RICHARDS ST / ROBSON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 490518.45, Y: 5456040.4397, Z: NaN",Theft from Vehicle,2026-04-04T05:30:00.0000000,RICHELIEU AVE / W 16TH AVE,VAN,Shaughnessy,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 486254.7412, Y: 5455152.4676, Z: NaN",Theft of Bicycle,2026-04-04T19:00:00.0000000,38XX W 26TH AVE,VAN,Dunbar-Southlands,https://vpd.ca/crime-prevention-safety/bike-theft-protection/,
"X: 491398.1033, Y: 5454383.3777, Z: NaN",Theft of Bicycle,2026-04-07T19:00:00.0000000,48XX CAMBIE ST,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/bike-theft-protection/,
"X: 492843.1683, Y: 5456409.6615, Z: NaN",Theft of Bicycle,2026-04-12T19:15:00.0000000,27XX SOPHIA ST,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/bike-theft-protection/,
"X: 497160.0445, Y: 5458708.0295, Z: NaN",Theft of Vehicle,2026-04-11T17:54:00.0000000,30XX E HASTINGS ST,VAN,Hastings-Sunrise,,
"X: 492811.2731, Y: 5450906.9569, Z: NaN",Theft of Vehicle,2026-04-10T04:30:00.0000000,3XX SE MARINE DR,VAN,Sunset,,
"X: 494372, Y: 5457536, Z: NaN",Vehicle Collision or Pedestrian Struck (with Injury),2026-04-04T17:43:00.0000000,CLARK DR / GRAVELEY ST,VANCOUVER,Strathcona,https://vpd.ca/crime-prevention-safety/road-safety/,
"X: 492397, Y: 5458756, Z: NaN",Vehicle Collision or Pedestrian Struck (with Injury),2026-04-06T20:18:00.0000000,X BLOCK W HASTINGS ST,VANCOUVER,Central Business District,https://vpd.ca/crime-prevention-safety/road-safety/,
"X: 490735.5593, Y: 5458179.6551, Z: NaN",Break and Enter Commercial,2026-04-12T06:00:00.0000000,12XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/business/,
"X: 490794.8554, Y: 5458253.5616, Z: NaN",Break and Enter Commercial,2026-04-04T00:28:00.0000000,12XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/business/,
"X: 492486.4415, Y: 5458635.3772, Z: NaN",Break and Enter Commercial,2026-04-02T11:10:00.0000000,5X E PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/business/,
"X: 497943.086, Y: 5453252.7194, Z: NaN",Break and Enter Commercial,2026-04-05T13:43:00.0000000,35XX KINGSWAY AVE,VAN,Killarney,https://vpd.ca/crime-prevention-safety/business/,
"X: 497955.5707, Y: 5454305.5604, Z: NaN",Break and Enter Commercial,2026-04-06T15:38:00.0000000,35XX PRICE ST,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/business/,
"X: 496415.1179, Y: 5457723.0372, Z: NaN",Break and Enter Residential/Other,2026-04-10T22:06:00.0000000,27XX KITCHENER ST,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 490683.6155, Y: 5459331.6849, Z: NaN",Break and Enter Residential/Other,2026-04-02T17:15:00.0000000,12XX ROBSON ST,VAN,West End,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 490868.9128, Y: 5458154.6316, Z: NaN",Break and Enter Residential/Other,2026-04-08T00:17:00.0000000,12XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 491750.4738, Y: 5455258.0519, Z: NaN",Break and Enter Residential/Other,2026-04-06T22:22:00.0000000,4XX W 23RD AVE,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 491173.1528, Y: 5457478.067, Z: NaN",Break and Enter Residential/Other,2026-04-10T05:00:00.0000000,X FALSE CREEK,VAN,Fairview,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 491173.1528, Y: 5457478.067, Z: NaN",Break and Enter Residential/Other,2026-04-11T09:00:00.0000000,X FALSE CREEK,VAN,Fairview,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 497416.4315, Y: 5455593.7539, Z: NaN",Break and Enter Residential/Other,2026-04-07T03:00:00.0000000,32XX E 19TH AVE,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 485800.8202, Y: 5457337.5655, Z: NaN",Break and Enter Residential/Other,2026-04-13T18:53:00.0000000,40XX W 4TH AVE,VAN,West Point Grey,https://vpd.ca/crime-prevention-safety/home-security/,https://vpd.ca/report-a-crime/break-and-enter/
"X: 489854.175, Y: 5459227.2991, Z: NaN",Mischief,2026-04-03T10:26:00.0000000,16XX DAVIE ST,VAN,West End,,
"X: 493992.3231, Y: 5451425.1741, Z: NaN",Mischief,2026-04-10T05:16:00.0000000,11XX E 60TH AVE,VAN,Sunset,,
"X: 494587.327, Y: 5458226.2523, Z: NaN",Mischief,2026-04-11T03:48:00.0000000,14XX VENABLES ST,VAN,Grandview-Woodland,,
"X: 489446.4245, Y: 5457739.4199, Z: NaN",Mischief,2026-04-03T22:30:00.0000000,15XX BURRARD ST,VAN,Fairview,,
"X: 490748.3447, Y: 5458339.6009, Z: NaN",Mischief,2026-04-10T07:15:00.0000000,12XX HOWE ST,VAN,Central Business District,,
"X: 490298.2128, Y: 5459727.9029, Z: NaN",Mischief,2026-04-06T19:30:00.0000000,16XX ROBSON ST,VAN,West End,,
"X: 496397.6351, Y: 5456456.4599, Z: NaN",Mischief,2026-04-03T12:57:00.0000000,26XX SLOCAN ST,VAN,Renfrew-Collingwood,,
"X: 492122.6441, Y: 5458572.1096, Z: NaN",Mischief,2026-04-04T17:30:00.0000000,1XX KEEFER PL,VAN,Central Business District,,
"X: 492573.2407, Y: 5458504.7326, Z: NaN",Mischief,2026-04-05T14:10:00.0000000,1XX KEEFER ST,VAN,Central Business District,,
"X: 486626.1546, Y: 5456932.9564, Z: NaN",Mischief,2026-04-07T21:50:00.0000000,24XX DUNBAR ST,VAN,Kitsilano,,
"X: 496004.0732, Y: 5458709.4168, Z: NaN",Mischief,2026-04-04T17:37:00.0000000,24XX E HASTINGS ST,VAN,Hastings-Sunrise,,
"X: 495270.0684, Y: 5455410.652, Z: NaN",Mischief,2026-04-13T01:39:00.0000000,20XX STAINSBURY AVE,VAN,Kensington-Cedar Cottage,,
"X: 485025.4601, Y: 5457365.1269, Z: NaN",Mischief,2026-04-04T00:00:00.0000000,20XX TRIMBLE ST,VAN,West Point Grey,,
"X: 485025.4601, Y: 5457365.1269, Z: NaN",Mischief,2026-04-13T07:00:00.0000000,20XX TRIMBLE ST,VAN,West Point Grey,,
"X: 491974.3862, Y: 5459104.9878, Z: NaN",Mischief,2026-04-04T14:19:00.0000000,3XX WATER ST,VAN,Central Business District,,
"X: 491975.9409, Y: 5459104.5343, Z: NaN",Mischief,2026-04-04T10:00:00.0000000,3XX WATER ST,VAN,Central Business District,,
"X: 497961.5535, Y: 5452934.6155, Z: NaN",Mischief,2026-04-09T04:30:00.0000000,35XX E 45TH AVE,VAN,Killarney,,
"X: 498027.7236, Y: 5453589.434, Z: NaN",Mischief,2026-04-12T01:56:00.0000000,36XX CROWLEY DR,VAN,Renfrew-Collingwood,,
"X: 495251.9379, Y: 5454344.9715, Z: NaN",Mischief,2026-04-14T08:45:00.0000000,47XX VICTORIA DR,VAN,Kensington-Cedar Cottage,,
"X: 491398.1033, Y: 5454383.3777, Z: NaN",Mischief,2026-04-05T21:29:00.0000000,48XX CAMBIE ST,VAN,Riley Park,,
"X: 493351.7101, Y: 5458715.1683, Z: NaN",Mischief,2026-04-09T08:14:00.0000000,6XX E HASTINGS ST,VAN,Strathcona,,
"X: 492094.6157, Y: 5458444.3592, Z: NaN",Mischief,2026-04-05T01:24:00.0000000,6XX EXPO BLVD,VAN,Central Business District,,
"X: 492749.1368, Y: 5458480.1529, Z: NaN",Mischief,2026-04-04T04:36:00.0000000,6XX MAIN ST,VAN,Strathcona,,
"X: 491866.7009, Y: 5459186.4219, Z: NaN",Mischief,2026-04-03T15:36:00.0000000,6XX W CORDOVA ST,VAN,Central Business District,,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Mischief,2026-04-02T22:00:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Mischief,2026-04-03T19:30:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Mischief,2026-04-14T07:00:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,,
"X: 491409.222, Y: 5458870.3802, Z: NaN",Mischief,2026-04-05T14:24:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,,
"X: 492260.9736, Y: 5459020.968, Z: NaN",Mischief,2026-04-13T14:27:00.0000000,ABBOTT ST / WATER ST,VAN,Central Business District,,
"X: 490032.7081, Y: 5459741.5561, Z: NaN",Mischief,2026-04-11T04:28:00.0000000,9XX DENMAN ST,VAN,West End,,
"X: 493914.4345, Y: 5458703.8807, Z: NaN",Mischief,2026-04-06T06:25:00.0000000,9XX E HASTINGS ST,VAN,Strathcona,,
"X: 489803.3784, Y: 5459751.0976, Z: NaN",Mischief,2026-04-09T13:45:00.0000000,9XX GILFORD ST,VAN,West End,,
"X: 491721.6233, Y: 5459035.9166, Z: NaN",Mischief,2026-04-11T10:36:00.0000000,SEYMOUR ST / W PENDER ST,VAN,Central Business District,,
"X: 489836.3097, Y: 5459092.8383, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491296.182, Y: 5457825.2085, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491450.5743, Y: 5457973.3905, Z: NaN",Offence Against a Person,2026-04-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491482.3405, Y: 5458095.9182, Z: NaN",Offence Against a Person,2026-04-09T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2026-04-04T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2026-04-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 490910.0134, Y: 5458800.0238, Z: NaN",Offence Against a Person,2026-04-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491812.1319, Y: 5457975.8865, Z: NaN",Offence Against a Person,2026-04-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492678.245, Y: 5459089.7977, Z: NaN",Offence Against a Person,2026-04-09T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492808.6285, Y: 5457389.0795, Z: NaN",Offence Against a Person,2026-04-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493057.2855, Y: 5458620.9987, Z: NaN",Offence Against a Person,2026-04-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493057.2855, Y: 5458620.9987, Z: NaN",Offence Against a Person,2026-04-11T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493094.2508, Y: 5456850.5369, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 496902.6005, Y: 5454431.947, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 496896.5068, Y: 5452439.2983, Z: NaN",Offence Against a Person,2026-04-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Killarney,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 496972.0602, Y: 5455211.733, Z: NaN",Offence Against a Person,2026-04-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 495595.1786, Y: 5455041.5382, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492821.2494, Y: 5455380.4908, Z: NaN",Offence Against a Person,2026-04-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493152.0087, Y: 5454994.9312, Z: NaN",Offence Against a Person,2026-04-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492110.6544, Y: 5458724.8083, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491998.574, Y: 5458532.4779, Z: NaN",Offence Against a Person,2026-04-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 490228.1596, Y: 5451360.3489, Z: NaN",Offence Against a Person,2026-04-15T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Marpole,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492742.1058, Y: 5458429.1691, Z: NaN",Offence Against a Person,2026-04-06T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
